customer_id,first_name,last_name,email,signup_date
121,First121,Last121,user121@example.com,2024-04-03
122,First122,Last122,user122@example.com,2024-07-18
123,First123,Last123,user123@example.com,2025-03-11
124,First124,Last124,user124@example.com,2024-07-18
125,First125,Last125,user125@example.com,2024-09-24
126,First126,Last126,user126@example.com,2025-05-04
127,First127,Last127,user127@example.com,2025-08-10
128,First128,Last128,user128@example.com,2025-08-07
129,First129,Last129,user129@example.com,2024-01-10
130,First130,Last130,user130@example.com,2024-08-30
131,First131,Last131,user131@example.com,2024-11-17
132,First132,Last132,user132@example.com,2024-09-07
133,First133,Last133,user133@example.com,2024-09-20
134,First134,Last134,user134@example.com,2024-07-24
135,First135,Last135,user135@example.com,2025-09-20
136,First136,Last136,user136@example.com,2023-12-26
137,First137,Last137,user137@example.com,2024-01-15
138,First138,Last138,user138@example.com,2024-01-23
139,First139,Last139,user139@example.com,2025-08-06
140,First140,Last140,user140@example.com,2025-09-13
141,First141,Last141,user141@example.com,2024-09-28
142,First142,Last142,user142@example.com,2024-12-02
143,First143,Last143,user143@example.com,2025-07-26
144,First144,Last144,user144@example.com,2025-03-05
145,First145,Last145,user145@example.com,2025-05-02
146,First146,Last146,user146@example.com,2025-05-04
147,First147,Last147,user147@example.com,2024-05-14
148,First148,Last148,user148@example.com,2024-08-12
149,First149,Last149,user149@example.com,2025-06-24
150,First150,Last150,user150@example.com,2024-09-08
151,First151,Last151,user151@example.com,2025-05-11
152,First152,Last152,user152@example.com,2025-02-02
153,First153,Last153,user153@example.com,2024-07-29
154,First154,Last154,user154@example.com,2025-03-04
155,First155,Last155,user155@example.com,2025-08-29
156,First156,Last156,user156@example.com,2024-08-18
157,First157,Last157,user157@example.com,2024-04-30
158,First158,Last158,user158@example.com,2025-08-06
159,First159,Last159,user159@example.com,2025-09-24
160,First160,Last160,user160@example.com,2024-01-17
161,First161,Last161,user161@example.com,2024-05-10
162,First162,Last162,user162@example.com,2025-10-30
163,First163,Last163,user163@example.com,2025-08-11
164,First164,Last164,user164@example.com,2025-03-17
165,First165,Last165,user165@example.com,2025-05-28
166,First166,Last166,user166@example.com,2024-09-24
167,First167,Last167,user167@example.com,2024-07-05
168,First168,Last168,user168@example.com,2024-07-10
169,First169,Last169,user169@example.com,2025-04-10
170,First170,Last170,user170@example.com,2024-09-30
171,First171,Last171,user171@example.com,2025-09-15
172,First172,Last172,user172@example.com,2025-05-30
173,First173,Last173,user173@example.com,2024-10-22
174,First174,Last174,user174@example.com,2025-11-12
175,First175,Last175,user175@example.com,2024-10-11
176,First176,Last176,user176@example.com,2025-02-16
177,First177,Last177,user177@example.com,2024-08-06
178,First178,Last178,user178@example.com,2025-01-26
179,First179,Last179,user179@example.com,2024-09-07
180,First180,Last180,user180@example.com,2023-12-02
181,First181,Last181,user181@example.com,2024-04-24
182,First182,Last182,user182@example.com,2024-01-07
183,First183,Last183,user183@example.com,2024-07-04
184,First184,Last184,user184@example.com,2025-06-09
185,First185,Last185,user185@example.com,2025-05-04
186,First186,Last186,user186@example.com,2025-01-15
187,First187,Last187,user187@example.com,2025-04-06
188,First188,Last188,user188@example.com,2025-09-16
189,First189,Last189,user189@example.com,2024-03-31
190,First190,Last190,user190@example.com,2024-05-08
191,First191,Last191,user191@example.com,2025-09-13
192,First192,Last192,user192@example.com,2024-12-28
193,First193,Last193,user193@example.com,2025-09-17
194,First194,Last194,user194@example.com,2025-09-24
195,First195,Last195,user195@example.com,2024-03-26
196,First196,Last196,user196@example.com,2024-07-14
197,First197,Last197,user197@example.com,2024-06-18
198,First198,Last198,user198@example.com,2024-05-20
199,First199,Last199,user199@example.com,2025-06-06
200,First200,Last200,user200@example.com,2025-09-17
